"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","source","characteristic","parameter"
1.02740042123692,0.144569571069774,0.738956317325421,0.932844774901591,1.02501522669503,1.12105329865467,1.3092281063741,1.00977530317578,230,"well","Deciduous","alpha_1"
1.00973796260855,0.143818724112742,0.723099460971498,0.915011221992649,1.00559879320285,1.10342005516705,1.28995855650372,1.00942256407525,240,"well","Deciduous","alpha_2"
1.02463908113762,0.144582789725218,0.735175548690619,0.929497263733896,1.02212214280213,1.12058868512241,1.30204371498916,1.00949034699076,230,"well","Deciduous","alpha_3"
1.03767554985112,0.145129406318754,0.747426734506111,0.942952354344747,1.03552277813633,1.13329781507504,1.32029337746909,1.00920567582651,240,"well","Deciduous","alpha_4"
-0.0370583741045618,0.00666404200544185,-0.0500743597881241,-0.0414201379484149,-0.0369451833412519,-0.032806040012622,-0.0237588962361723,1.00866219201375,250,"well","Deciduous","beta"
-79.2635328132224,5.675260642597,-88.2852500699557,-83.3908788012005,-79.9392145274199,-75.7416981000271,-66.3832146813223,1.00049861091418,3000,"well","Deciduous","mu_int"
1.02347623732402,0.147707468772043,0.729074380747042,0.930500347592829,1.02057947856366,1.11959337343868,1.30555867807168,1.01196827480391,210,"well","Deciduous","sigma_int"
0.0379971778280907,0.0668145232969224,0.00149043769511152,0.011065290185302,0.0224204947506336,0.0410650356578747,0.167550741703157,1.00477919011228,3000,"well","Deciduous","sigma_res"
0.034128622556675,0.0101500685857934,0.0182203009311395,0.0271789480072136,0.0326220725715911,0.0399870761693213,0.0579657973206536,1.00119008640232,2900,"well","Deciduous","deviance"
0.175649625355536,0.16949835397118,-0.170372676567404,0.0684582569831683,0.179734507277708,0.284446494874855,0.507691745412375,1.00454171890719,870,"ppt/snow","Deciduous","alpha_1"
0.187297794644422,0.169806450451474,-0.156522684956999,0.081166781605619,0.189943410848012,0.295473439335719,0.507438658934412,1.00405440734207,1000,"ppt/snow","Deciduous","alpha_2"
0.130580988768222,0.169804761427768,-0.20994168315253,0.0234217540803022,0.135048205518418,0.238345986968423,0.460379180606228,1.00443095444827,860,"ppt/snow","Deciduous","alpha_3"
0.117590206419257,0.169947386135879,-0.225217403705048,0.0130357248846429,0.12044049315381,0.221675327723807,0.447119145254217,1.0042634768909,880,"ppt/snow","Deciduous","alpha_4"
0.0249826663698283,0.00786271665091958,0.00981078401824403,0.0200012477528204,0.0247934006756392,0.0299408369029579,0.041236558770481,1.00480772685171,800,"ppt/snow","Deciduous","beta"
-77.7931548330711,5.75834913660712,-87.102959791272,-81.8749768913122,-78.4573210190499,-74.4596114781556,-64.7482608134496,1.00206534011836,2700,"ppt/snow","Deciduous","mu_int"
0.152791537369612,0.177340746761516,-0.201362130707827,0.0395895730364356,0.155209168344613,0.265553553687421,0.498227499792327,1.003343627588,1000,"ppt/snow","Deciduous","sigma_int"
0.0761450027684457,0.083354189298742,0.0080482110233735,0.0346558068089779,0.0541384218898383,0.0885776316648874,0.268741043771872,1.0027250042195,3000,"ppt/snow","Deciduous","sigma_res"
0.0389661176671538,0.0132203218981021,0.019021041376106,0.0298104928004453,0.0369709951128503,0.0454501674403566,0.0705311981778844,1.00083812563189,3000,"ppt/snow","Deciduous","deviance"
-0.292854867513408,0.090952204316036,-0.482406138722257,-0.349835871407266,-0.290580970763759,-0.236611017767337,-0.11498270234452,1.00547679926861,450,"well","Slope","alpha_1"
-0.310823849887923,0.0917953380627127,-0.492750774459041,-0.370054385198012,-0.310001156638922,-0.25463704647481,-0.125781118329428,1.00512442453794,520,"well","Slope","alpha_2"
-0.295274579151073,0.0903672411419866,-0.484008717116709,-0.353058476717797,-0.294075755545544,-0.238277023724472,-0.114659403362703,1.00517697116094,490,"well","Slope","alpha_3"
-0.283231180407276,0.0909669933691168,-0.468267210855998,-0.339810220237132,-0.282392598567038,-0.226433535483116,-0.102483553015071,1.00490849924577,510,"well","Slope","alpha_4"
0.0444046053559626,0.00759095963134421,0.0292147991469778,0.0395895525218703,0.0442791657378313,0.0491336803857762,0.0600825200859107,1.00334545842674,700,"well","Slope","beta"
-78.5189416542376,5.92079386529947,-88.2673078539959,-82.6164095175725,-79.2572197400863,-75.1429539626547,-64.904980766268,1.0036128582711,640,"well","Slope","mu_int"
-0.294743693200744,0.0939718953426463,-0.48953888600908,-0.354663469287049,-0.293272877503272,-0.236880824911,-0.110048882578382,1.00545096042778,470,"well","Slope","sigma_int"
0.032007686242995,0.0358294235308274,0.000970188445869225,0.0109120742450137,0.0213259820155522,0.0394423828384662,0.135392938455263,1.00876215082377,1400,"well","Slope","sigma_res"
0.0312354958579352,0.0108995832887948,0.0141828172698763,0.0236977387418215,0.0300162551141924,0.0372192046152878,0.0560029181548596,1.00188162468309,3000,"well","Slope","deviance"
0.957458825697651,0.145165423608801,0.677997464774035,0.859319790280648,0.957230143565629,1.04845400578332,1.25132491242226,1.00088364865672,3000,"ppt/snow","Slope","alpha_1"
0.967659695322443,0.145205766572032,0.69334335446169,0.868232863482681,0.964889886216206,1.05834645049138,1.25340265310034,1.00073874724808,3000,"ppt/snow","Slope","alpha_2"
0.919416619506642,0.146236527220688,0.646929204764787,0.818028069574318,0.919061970019478,1.00829078669239,1.22646435899837,1.00079231254561,3000,"ppt/snow","Slope","alpha_3"
0.907774547142823,0.145966934665111,0.636808820370737,0.808839340791019,0.904328550507155,0.99865555812788,1.20664438986086,1.00081627119505,3000,"ppt/snow","Slope","alpha_4"
-0.0211303250163148,0.0120627893014685,-0.0462336355875859,-0.0286872320358682,-0.0210306903318723,-0.0128355800653806,0.0014451291281611,1.00062355256025,3000,"ppt/snow","Slope","beta"
-78.0856822518265,5.79113263341184,-87.2988007255938,-82.2616780929531,-78.707191396197,-74.6712993149699,-64.6257462204555,1.00068777662351,3000,"ppt/snow","Slope","mu_int"
0.936463173717471,0.152877609297873,0.652165888898075,0.832879320310007,0.935027489735929,1.03390728617279,1.24397376401078,1.00166820038443,3000,"ppt/snow","Slope","sigma_int"
0.0710304331043387,0.0840120860986927,0.00463023553822703,0.0290820630872439,0.0489990042196851,0.0840039213701937,0.289376623404763,1.0111605808604,930,"ppt/snow","Slope","sigma_res"
0.0539283778240351,0.0152037607718303,0.030492639021967,0.0434791337888647,0.0514976989255065,0.0616601580733437,0.0903113469532062,1.00095273308792,3000,"ppt/snow","Slope","deviance"
0.503337847563106,0.102426224204513,0.295067478140601,0.441546013240766,0.505135209249017,0.568227640475695,0.708028210592969,1.00912050756941,270,"well","Permafrost","alpha_1"
0.490886696644779,0.102411471573105,0.277580077610494,0.428925094815087,0.492966778417687,0.554923043963902,0.693278974732042,1.0130692299952,230,"well","Permafrost","alpha_2"
0.501007255991364,0.103022203085337,0.292518500366368,0.437650114194971,0.502929688292521,0.56604582904028,0.70585316360344,1.01247557088934,280,"well","Permafrost","alpha_3"
0.511583708760613,0.102309845559878,0.304110211696842,0.448339257221366,0.513789491308605,0.576572781372687,0.711057917964434,1.00949056703737,290,"well","Permafrost","alpha_4"
-0.00845721315538701,0.00312645747175619,-0.0146727748241992,-0.0104286004118927,-0.00847950385711705,-0.00650663456789604,-0.00210814810234736,1.00993031316889,230,"well","Permafrost","beta"
-77.5030149610308,6.2424873839624,-87.6805436756938,-82.0716858901077,-78.2739432106119,-73.6154745730961,-63.6862469559208,1.00117503694412,3000,"well","Permafrost","mu_int"
