"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","source","characteristic","parameter"
1.05379616308326,0.14538385586458,0.760587521282382,0.96297077113075,1.05682660360377,1.14560557757654,1.34836707221831,1.00512558668279,2800,"well","Deciduous","alpha_1"
1.03601888670411,0.144444971365776,0.747507035455611,0.944410754023607,1.03751505458706,1.1280305473384,1.32823682645273,1.00582876135555,2000,"well","Deciduous","alpha_2"
1.05003568233658,0.145312581473603,0.756556986340172,0.956994023419961,1.05094655653709,1.1402761484474,1.34517161989433,1.00488653083967,3000,"well","Deciduous","alpha_3"
1.06337631716682,0.1451419008545,0.772296605075936,0.970760964617887,1.06637651086038,1.15610354521378,1.35916432654356,1.00610544129823,2000,"well","Deciduous","alpha_4"
-0.0380565988834215,0.00670447193450955,-0.0515174139604169,-0.0422306444484649,-0.0381914990281486,-0.0338004490649416,-0.0244913935240329,1.00362620009892,2800,"well","Deciduous","beta"
-78.9461834074922,5.50684554104651,-87.7054131165719,-82.9260174889248,-79.5215327690611,-75.6628518408094,-66.4794762858258,1.00111261226566,3000,"well","Deciduous","mu_int"
1.05089442385926,0.147900974522662,0.760179741524921,0.958829942096979,1.05220906603243,1.14399462571908,1.35330388705805,1.0048174094125,2400,"well","Deciduous","sigma_int"
0.0360688669076538,0.0514704846923904,0.00111644525191069,0.0107297158213747,0.0229113924671338,0.0409264385652796,0.171206910512716,1.00153962005731,3000,"well","Deciduous","sigma_res"
0.0350406174947436,0.0105209609741622,0.0186249712522983,0.0278173697679262,0.0336821173100697,0.0405141107920506,0.0598670931399715,1.00051010478225,3000,"well","Deciduous","deviance"
0.159048938873421,0.167115087757651,-0.18743853161914,0.0517029153431797,0.160996288097789,0.266469491365742,0.485277370636867,1.00355548292824,740,"ppt/snow","Deciduous","alpha_1"
0.170544328365965,0.166971957045913,-0.171928097605551,0.0626698975768396,0.17145021924425,0.280611351666047,0.495170101838867,1.0035602057979,730,"ppt/snow","Deciduous","alpha_2"
0.112686302839741,0.166740230342853,-0.222934781053423,0.00471442071479467,0.113945814375653,0.218638634045604,0.449534245423796,1.00392927997916,650,"ppt/snow","Deciduous","alpha_3"
0.0964325025589703,0.167475889648981,-0.236061937440795,-0.0102922827875353,0.0957453924088178,0.203743430307283,0.4283947510432,1.00387537138068,680,"ppt/snow","Deciduous","alpha_4"
0.0254989566304832,0.00772661326106817,0.0102610106265259,0.0205899613072613,0.0254364927581736,0.0303859284943961,0.0412830174212164,1.00360154653726,730,"ppt/snow","Deciduous","beta"
-77.8475463447194,5.85358349311333,-87.2304719040355,-82.1941494243603,-78.4010492041079,-74.3210117907002,-64.6236169440568,1.00145926504266,2100,"ppt/snow","Deciduous","mu_int"
0.136478055597153,0.177313584453113,-0.21320358853667,0.022165031618099,0.137510088045641,0.245949095924184,0.492982346421188,1.00205207485139,1300,"ppt/snow","Deciduous","sigma_int"
0.0832614038834224,0.0943280147669632,0.0101124950007022,0.0368486336798767,0.0570897509318396,0.0931866216872462,0.32565823358666,1.00356934387107,3000,"ppt/snow","Deciduous","sigma_res"
0.0378093995479136,0.0131400836364677,0.0176846692854976,0.0287246960956636,0.0359821821462181,0.0445001389000594,0.0695325898423786,1.00209710822665,1300,"ppt/snow","Deciduous","deviance"
-0.307125554117204,0.0940558126673198,-0.502935409081746,-0.364875170804211,-0.302935557771065,-0.24743394459796,-0.129696300612179,1.00697171049097,530,"well","Slope","alpha_1"
-0.32455909027339,0.0939015140901146,-0.520425311603484,-0.381695784823828,-0.320302622320653,-0.265762005347093,-0.145362130814274,1.00597000469775,670,"well","Slope","alpha_2"
-0.310775179342876,0.0933000405699501,-0.507552790948869,-0.367315451430829,-0.306878526591565,-0.251699932977325,-0.134859061501673,1.00506082683195,690,"well","Slope","alpha_3"
-0.2974193152004,0.0948269685713745,-0.495963024744026,-0.353253685172685,-0.294116074276578,-0.237100322921453,-0.116663118653157,1.00672519363036,620,"well","Slope","alpha_4"
0.0459423902863405,0.00784232217917383,0.0312830929714597,0.040972498877424,0.0456049689933237,0.0507051885563983,0.0622513042892167,1.01274144900543,470,"well","Slope","beta"
-78.0659148383068,5.93143023789518,-87.527780443889,-82.3592241118063,-78.7311956234756,-74.6880659011094,-64.6293980299917,1.00169618699229,1700,"well","Slope","mu_int"
-0.309441891046187,0.0973677988841451,-0.513082694822858,-0.367206241960547,-0.306216361445408,-0.246926178741956,-0.12372701517116,1.00561828094609,520,"well","Slope","sigma_int"
0.0331172882989325,0.0457105817666732,0.00104947699722677,0.011126264185006,0.0218382397549186,0.0395449115590819,0.13838180845418,1.00148000931248,3000,"well","Slope","sigma_res"
0.0315093636674532,0.0109444855359706,0.0137504504676119,0.0242053827497965,0.0302439541356038,0.0376314701463854,0.0560025179405434,1.00102937062799,3000,"well","Slope","deviance"
0.955249203530972,0.144637961710712,0.656712888212409,0.865008360540326,0.957004747361241,1.04426421662788,1.24176879056163,1.00501193519937,450,"ppt/snow","Slope","alpha_1"
0.963997976719967,0.144463213678845,0.676177511769693,0.875673654433082,0.964641064338186,1.0548173101399,1.25503948914722,1.00440423895718,540,"ppt/snow","Slope","alpha_2"
0.915635356535175,0.144539053046022,0.625369009235933,0.823055101980936,0.91555593794574,1.00468286347521,1.21435162652182,1.00478641132544,470,"ppt/snow","Slope","alpha_3"
0.902327306223577,0.144652489519431,0.618677562430386,0.815529051848259,0.901843358234395,0.990354937873272,1.1965589747289,1.0047832922595,470,"ppt/snow","Slope","alpha_4"
