"Site","Year","Mean","SD","p2.5","p25","p50","p75","p97.5","Rhat","n.eff","Source","name","Par"
"FRCH","2015",38.9052508371336,0.450364754112302,38.0583125611691,38.5881210504014,38.9122869055832,39.2147638962567,39.7917330548278,1.00354292201236,700,"ppt/snow","alpha[1]","alph"
"FRCH","2015",43.7190377535514,0.420539684919635,42.8839357035527,43.44252750323,43.719382311969,44.0059693904688,44.5230626539371,1.00138593888552,2300,"ppt/snow","alpha[2]","alph"
"FRCH","2015",42.4261711528447,0.440423032360466,41.5717602665585,42.1373897628054,42.4190566019046,42.7235122104014,43.2950409848868,1.00938740961573,230,"ppt/snow","alpha[3]","alph"
"FRCH","2015",44.6170920450558,0.44346129073737,43.7639238367912,44.3314031893064,44.6148449194802,44.9047022997463,45.514806123234,1.01243418830867,170,"ppt/snow","alpha[4]","alph"
"FRCH","2015",49.5500870547103,0.428636451216009,48.711923293708,49.2660672586038,49.5436802660522,49.8392357770977,50.3902977210327,1.00117539396551,3000,"ppt/snow","alpha[5]","alph"
"FRCH","2015",49.9660324776765,0.436351781578369,49.1018559758682,49.6753366368259,49.9566862447246,50.2645052578936,50.8441579122759,1.00208753978037,1700,"ppt/snow","alpha[6]","alph"
"FRCH","2015",43.9892549153426,0.420085192226096,43.1453477257245,43.7006300157797,43.9920372384029,44.2679309794493,44.8110397602227,1.00065537614624,3000,"ppt/snow","alpha[7]","alph"
"FRCH","2015",48.977081436844,0.441532190694856,48.1374930969231,48.6820153790929,48.9681411363155,49.2706958363733,49.8509836948432,1.00467597330317,480,"ppt/snow","alpha[8]","alph"
"FRCH","2015",47.3554238961644,0.43610980001723,46.5059266894577,47.0648106153047,47.3546930079908,47.6557022253015,48.2129403655319,1.00315849703701,750,"ppt/snow","alpha[9]","alph"
"FRCH","2015",44.252998902567,0.440995566606523,43.4122804381886,43.9569787954622,44.251931445836,44.5435914607399,45.1486502627662,1.00099612694308,3000,"ppt/snow","alpha[10]","alph"
"FRCH","2015",31.3674421987091,0.450988020697929,30.4728889936292,31.0593172544542,31.375667467714,31.6795073118289,32.2193072387312,1.0025865716673,1100,"ppt/snow","alpha[11]","alph"
"FRCH","2015",47.9200154555155,0.445820361486669,47.0459149108111,47.611395895334,47.9114304422858,48.2267060073416,48.798345429821,1.00321742262299,740,"ppt/snow","alpha[12]","alph"
"FRCH","2015",45.987039661369,0.440660368810055,45.1477748048223,45.6849063224944,45.9864938066109,46.2921716208155,46.8453214513141,1.00230082267155,1100,"ppt/snow","alpha[13]","alph"
"FRCH","2015",47.1245656154335,0.444026688037983,46.2747645521014,46.8257995285877,47.122017398843,47.4194514520698,47.9972984315587,1.00466502277906,670,"ppt/snow","alpha[14]","alph"
"FRCH","2015",43.0401518760999,0.433274771971454,42.1727369133117,42.7431471892904,43.0371616957074,43.3368742729388,43.8710801564674,1.00265341726467,2500,"ppt/snow","alpha[15]","alph"
"FRCH","2015",46.6137826473537,0.432850165132718,45.7667188797534,46.3156909069267,46.6093029624835,46.9100537313568,47.4395145646444,1.00445043875694,610,"ppt/snow","alpha[16]","alph"
"FRCH","2015",45.9024517004447,0.435619492721102,45.0605791533106,45.6086688797149,45.8957643501499,46.1936337867267,46.7572546092528,1.00214458138708,1500,"ppt/snow","alpha[17]","alph"
"FRCH","2015",41.6567068011224,0.444763839580549,40.7896747747607,41.3514557572154,41.6601310339775,41.9505726305735,42.5162084406653,1.00094748633565,3000,"ppt/snow","alpha[18]","alph"
"FRCH","2015",40.0742493144133,0.44446660795403,39.2008893056603,39.7790395103811,40.0762813837675,40.3653827050445,40.9647984120285,1.0014116311578,3000,"ppt/snow","alpha[19]","alph"
"FRCH","2015",41.2822944805981,0.422976228426396,40.4454997617868,40.9971565294329,41.2884758678577,41.5650989500529,42.086673115155,1.00261632331465,950,"ppt/snow","alpha[20]","alph"
"FRCH","2015",50.1626501512435,0.454868502000073,49.2677950310965,49.8584749152947,50.1732033461542,50.4674148907838,51.0523939860964,1.00441914615873,860,"ppt/snow","alpha[21]","alph"
"FRCH","2015",47.4576538053671,0.428983113685381,46.6111984849767,47.1707435464104,47.4694896441181,47.7540018325941,48.2921639860443,1.00201736262659,1300,"ppt/snow","alpha[22]","alph"
"FRCH","2015",41.9061061745224,0.445728258158906,41.0369753856821,41.6088507400047,41.9055520672436,42.2023298047189,42.7806878977124,1.00393745889484,580,"ppt/snow","alpha[23]","alph"
"FRCH","2015",40.633025021221,0.442709392928113,39.762600861499,40.3358595961159,40.6242911049377,40.931559322957,41.5069016206924,1.00445657201664,510,"ppt/snow","alpha[24]","alph"
"FRCH","2015",41.5246038889218,0.443808763684359,40.6410057706393,41.230289711249,41.526758818707,41.8232468477946,42.4174660083861,1.00352386625813,1300,"ppt/snow","alpha[25]","alph"
"FRCH","2015",41.4555389920972,0.430631247984138,40.5990216849054,41.1706754958189,41.4551587593807,41.7558521935895,42.2858550045582,1.00105873068462,3000,"ppt/snow","alpha[26]","alph"
"FRCH","2015",47.7333450298565,0.426284346293015,46.889107431297,47.4536024060754,47.7398462524723,48.0137753832961,48.577700074167,1.00748222248496,290,"ppt/snow","alpha[27]","alph"
"FRCH","2015",48.737926298669,0.441867497968858,47.8781653721017,48.4363524300225,48.7374376666721,49.0258422787394,49.6620677721751,1.00413072292123,550,"ppt/snow","alpha[28]","alph"
"FRCH","2015",40.0096630432028,0.431488026543918,39.1825597952031,39.7156036071144,40.0043839196956,40.3049542077311,40.8394338418626,1.00500484569059,470,"ppt/snow","alpha[29]","alph"
"FRCH","2015",46.7481222047452,0.442527851108362,45.8810212552682,46.4554100101309,46.7458527066707,47.0350811988879,47.6212940957787,1.00459464534616,490,"ppt/snow","alpha[30]","alph"
"FRCH","2015",47.0171166631394,0.450372184179395,46.1502149696236,46.7166679373493,47.009473052852,47.3193215401295,47.9220315470661,1.00228477449927,1100,"ppt/snow","alpha[31]","alph"
