"Site","Day","Q"
"FRCH",2022-05-09,NA
"FRCH",2022-05-10,NA
"FRCH",2022-05-11,NA
"FRCH",2022-05-12,NA
"FRCH",2022-05-13,NA
"FRCH",2022-05-14,NA
"FRCH",2022-05-15,NA
"FRCH",2022-05-16,NA
"FRCH",2022-05-17,NA
"FRCH",2022-05-18,NA
"FRCH",2022-05-19,NA
"FRCH",2022-05-20,NA
"FRCH",2022-05-21,NA
"FRCH",2022-05-22,NA
"FRCH",2022-05-23,NA
"FRCH",2022-05-24,NA
"FRCH",2022-05-25,NA
"FRCH",2022-05-26,NA
"FRCH",2022-05-27,NA
"FRCH",2022-05-28,NA
"FRCH",2022-05-29,NA
"FRCH",2022-05-30,NA
"FRCH",2022-05-31,NA
"FRCH",2022-06-01,NA
"FRCH",2022-06-02,NA
"FRCH",2022-06-03,NA
"FRCH",2022-06-04,NA
"FRCH",2022-06-05,1296.26261682665
"FRCH",2022-06-06,1232.88937606965
"FRCH",2022-06-07,1176.81087628616
"FRCH",2022-06-08,1121.01981462408
"FRCH",2022-06-09,1097.6131404218
"FRCH",2022-06-10,1084.70378441457
"FRCH",2022-06-11,1065.14556796468
"FRCH",2022-06-12,1004.73183847853
"FRCH",2022-06-13,967.048697131182
"FRCH",2022-06-14,938.850357846405
"FRCH",2022-06-15,894.009051103682
"FRCH",2022-06-16,867.231518901038
"FRCH",2022-06-17,862.873073460679
"FRCH",2022-06-18,854.390912015405
"FRCH",2022-06-19,868.785467632973
"FRCH",2022-06-20,843.57152244911
"FRCH",2022-06-21,826.388974791608
"FRCH",2022-06-22,786.440156285952
"FRCH",2022-06-23,795.125207593861
"FRCH",2022-06-24,766.879580414763
"FRCH",2022-06-25,711.990488102402
"FRCH",2022-06-26,691.225327850606
"FRCH",2022-06-27,669.664532429863
"FRCH",2022-06-28,647.716742630725
"FRCH",2022-06-29,636.216345261832
"FRCH",2022-06-30,607.869426760742
"FRCH",2022-07-01,597.891296298227
"FRCH",2022-07-02,604.374402357257
"FRCH",2022-07-03,576.705541406072
"FRCH",2022-07-04,566.762036379029
"FRCH",2022-07-05,561.977909954114
