"Site","Day","Q"
"FRCH",2020-06-04,NA
"FRCH",2020-06-05,NA
"FRCH",2020-06-06,NA
"FRCH",2020-06-07,NA
"FRCH",2020-06-08,NA
"FRCH",2020-06-09,NA
"FRCH",2020-06-10,NA
"FRCH",2020-06-11,NA
"FRCH",2020-06-12,361.752530983295
"FRCH",2020-06-13,367.111005336241
"FRCH",2020-06-14,532.28526425284
"FRCH",2020-06-15,593.740673210265
"FRCH",2020-06-16,529.887312005896
"FRCH",2020-06-17,446.356828461322
"FRCH",2020-06-18,402.14287052093
"FRCH",2020-06-19,413.324312544752
"FRCH",2020-06-20,455.569158840136
"FRCH",2020-06-21,1655.31749520411
"FRCH",2020-06-22,2681.82807644061
"FRCH",2020-06-23,3194.20606699907
"FRCH",2020-06-24,2930.46074946581
"FRCH",2020-06-25,2570.86226545916
"FRCH",2020-06-26,2246.05463708761
"FRCH",2020-06-27,1989.95740885051
"FRCH",2020-06-28,1796.77836932183
"FRCH",2020-06-29,1715.5603865782
"FRCH",2020-06-30,1556.96903515727
"FRCH",2020-07-01,1415.34548721433
"FRCH",2020-07-02,1268.31942966686
"FRCH",2020-07-03,1174.85021243554
"FRCH",2020-07-04,1074.36409855429
"FRCH",2020-07-05,995.045113847935
"FRCH",2020-07-06,924.228310011775
"FRCH",2020-07-07,914.985132390104
"FRCH",2020-07-08,2236.17714264311
"FRCH",2020-07-09,1391.03859841425
"FRCH",2020-07-10,1251.22823728194
"FRCH",2020-07-11,1015.39696821616
"FRCH",2020-07-12,877.936284256976
"FRCH",2020-07-13,804.04346348922
"FRCH",2020-07-14,767.426548605246
"FRCH",2020-07-15,768.527936869727
"FRCH",2020-07-16,720.363373119834
"FRCH",2020-07-17,697.047728102579
"FRCH",2020-07-18,691.653994360164
"FRCH",2020-07-19,709.889493230843
"FRCH",2020-07-20,666.549372474947
"FRCH",2020-07-21,1150.41449336237
"FRCH",2020-07-22,976.077427082959
"FRCH",2020-07-23,802.357172570891
"FRCH",2020-07-24,718.16321255106
"FRCH",2020-07-25,664.013397640169
"FRCH",2020-07-26,622.219796570806
"FRCH",2020-07-27,634.029940850696
"FRCH",2020-07-28,651.457741109743
"FRCH",2020-07-29,600.164146885925
"FRCH",2020-07-30,567.144960593904
"FRCH",2020-07-31,528.495982541454
"FRCH",2020-08-01,516.563237564424
"FRCH",2020-08-02,670.143301848387
"FRCH",2020-08-03,650.470749730341
"FRCH",2020-08-04,725.902716294366
"FRCH",2020-08-05,613.047199521596
"FRCH",2020-08-06,557.580781467108
"FRCH",2020-08-07,521.368763983678
"FRCH",2020-08-08,487.882711640807
"FRCH",2020-08-09,473.844856864768
"FRCH",2020-08-10,934.245023592395
"FRCH",2020-08-11,821.720744807529
"FRCH",2020-08-12,684.202012363441
"FRCH",2020-08-13,713.774885731523
"FRCH",2020-08-14,617.55682280088
"FRCH",2020-08-15,547.751828217331
"FRCH",2020-08-16,505.001950724614
"FRCH",2020-08-17,462.01274373367
"FRCH",2020-08-18,432.390330373576
"FRCH",2020-08-19,419.80274189557
"FRCH",2020-08-20,418.113496305319
"FRCH",2020-08-21,454.772063291123
"FRCH",2020-08-22,422.990230098071
