"Site","Day","Q"
"FRCH",2019-09-14,643.407052624368
"FRCH",2019-09-15,628.181257736947
"FRCH",2019-09-16,636.722296901016
"FRCH",2019-09-17,628.919718702183
"FRCH",2019-09-18,671.122361158649
"FRCH",2019-09-19,670.906517697004
"FRCH",2019-09-20,674.76510470695
"FRCH",2019-09-21,919.468961658706
"FRCH",2019-09-22,1133.88649827366
"FRCH",2019-09-23,882.744348154675
"FRCH",2019-09-24,755.567246934732
"FRCH",2019-09-25,736.126334464372
"FRCH",2019-09-26,680.549228987674
"FRCH",2019-09-27,645.635467196099
"FRCH",2019-09-28,628.317077448378
"FRCH",2019-09-29,637.515998711852
"FRCH",2019-09-30,645.682935065334
"FRCH",2019-10-01,637.169904026942
"FRCH",2019-10-02,890.128367798339
"FRCH",2019-10-03,1062.98401772367
"FRCH",2019-10-04,923.513615565348
"FRCH",2019-10-05,881.825963608741
"FRCH",2019-10-06,792.255474940568
"FRCH",2019-10-07,712.352089167938
"FRCH",2019-10-08,677.269505878919
"FRCH",2019-10-09,688.517946060019
"FRCH",2019-10-10,NA
"FRCH",2019-10-11,NA
"FRCH",2019-10-12,NA
"FRCH",2019-10-13,NA
"FRCH",2019-10-14,NA
"FRCH",2019-10-15,NA
"FRCH",2019-10-16,NA
"FRCH",2019-10-17,NA
"FRCH",2019-10-18,NA
"FRCH",2019-10-19,NA
"FRCH",2019-10-20,NA
"FRCH",2019-10-21,NA
"FRCH",2019-10-22,NA
"MOOS",2019-04-29,NA
"MOOS",2019-04-30,NA
"MOOS",2019-05-01,NA
"MOOS",2019-05-02,NA
"MOOS",2019-05-03,NA
"MOOS",2019-05-04,NA
"MOOS",2019-05-05,NA
"MOOS",2019-05-06,NA
"MOOS",2019-05-07,NA
"MOOS",2019-05-08,NA
"MOOS",2019-05-09,NA
"MOOS",2019-05-10,NA
"MOOS",2019-05-11,NA
"MOOS",2019-05-12,NA
"MOOS",2019-05-13,NA
"MOOS",2019-05-14,NA
"MOOS",2019-05-15,NA
"MOOS",2019-05-16,NA
"MOOS",2019-05-17,NA
"MOOS",2019-05-18,NA
"MOOS",2019-05-19,NA
"MOOS",2019-05-20,NA
"MOOS",2019-05-21,NA
"MOOS",2019-05-22,NA
"MOOS",2019-05-23,NA
"MOOS",2019-05-24,NA
"MOOS",2019-05-25,NA
"MOOS",2019-05-26,NA
"MOOS",2019-05-27,NA
"MOOS",2019-05-28,NA
"MOOS",2019-05-29,NA
"MOOS",2019-05-30,NA
"MOOS",2019-05-31,NA
"MOOS",2019-06-01,1182.30073942053
"MOOS",2019-06-02,2181.02452465854
"MOOS",2019-06-03,1535.27387652514
"MOOS",2019-06-04,1149.76776594176
"MOOS",2019-06-05,927.119025553894
"MOOS",2019-06-06,794.619347178511
"MOOS",2019-06-07,713.055910119599
"MOOS",2019-06-08,684.738747996951
"MOOS",2019-06-09,640.674856699369
"MOOS",2019-06-10,823.244513783799
"MOOS",2019-06-11,827.710578782069
"MOOS",2019-06-12,818.990201867344
"MOOS",2019-06-13,698.367946353738
"MOOS",2019-06-14,630.664711013593
"MOOS",2019-06-15,586.177313552383
"MOOS",2019-06-16,616.958511536145
"MOOS",2019-06-17,580.094225020257
"MOOS",2019-06-18,543.614944107668
"MOOS",2019-06-19,539.784138354842
"MOOS",2019-06-20,503.863115567037
"MOOS",2019-06-21,487.442626586331
"MOOS",2019-06-22,474.121432712182
"MOOS",2019-06-23,522.381885085723
"MOOS",2019-06-24,533.585548141727
"MOOS",2019-06-25,493.698967639941
"MOOS",2019-06-26,450.828593712587
"MOOS",2019-06-27,427.208499950188
"MOOS",2019-06-28,424.571211567589
"MOOS",2019-06-29,408.862982952986
"MOOS",2019-06-30,398.063575780446
"MOOS",2019-07-01,450.039332225824
"MOOS",2019-07-02,446.555031515967
"MOOS",2019-07-03,413.021043468616
"MOOS",2019-07-04,388.958193262423
"MOOS",2019-07-05,390.22871175331
"MOOS",2019-07-06,377.311773762625
"MOOS",2019-07-07,367.494130878498
"MOOS",2019-07-08,518.993835776691
"MOOS",2019-07-09,521.410682242084
"MOOS",2019-07-10,419.335135362721
"MOOS",2019-07-11,430.36554589724
"MOOS",2019-07-12,460.030227631435
"MOOS",2019-07-13,552.489323263712
"MOOS",2019-07-14,615.745743885753
"MOOS",2019-07-15,501.245077464603
"MOOS",2019-07-16,472.504409178326
"MOOS",2019-07-17,523.92190749892
"MOOS",2019-07-18,465.612808879272
"MOOS",2019-07-19,511.332224271039
"MOOS",2019-07-20,524.537916464198
"MOOS",2019-07-21,471.137639286614
"MOOS",2019-07-22,442.396971000337
"MOOS",2019-07-23,419.142632561072
"MOOS",2019-07-24,404.722779403835
"MOOS",2019-07-25,393.116253778053
"MOOS",2019-07-26,422.458513508951
