"Site","DateTime","Q"
"MOOS",2021-05-04 17:00:00,NA
"MOOS",2021-05-04 17:15:00,NA
"MOOS",2021-05-04 17:30:00,NA
"MOOS",2021-05-04 17:45:00,NA
"MOOS",2021-05-04 18:00:00,NA
"MOOS",2021-05-04 18:15:00,NA
"MOOS",2021-05-04 18:30:00,NA
"MOOS",2021-05-04 18:45:00,NA
"MOOS",2021-05-04 19:00:00,NA
"MOOS",2021-05-04 19:15:00,NA
"MOOS",2021-05-04 19:30:00,NA
"MOOS",2021-05-04 19:45:00,NA
"MOOS",2021-05-04 20:00:00,NA
"MOOS",2021-05-04 20:15:00,NA
"MOOS",2021-05-04 20:30:00,NA
"MOOS",2021-05-04 20:45:00,NA
"MOOS",2021-05-04 21:00:00,NA
"MOOS",2021-05-04 21:15:00,NA
"MOOS",2021-05-04 21:30:00,NA
"MOOS",2021-05-04 21:45:00,NA
"MOOS",2021-05-04 22:00:00,NA
"MOOS",2021-05-04 22:15:00,NA
"MOOS",2021-05-04 22:30:00,NA
"MOOS",2021-05-04 22:45:00,NA
"MOOS",2021-05-04 23:00:00,NA
"MOOS",2021-05-04 23:15:00,NA
"MOOS",2021-05-04 23:30:00,NA
"MOOS",2021-05-04 23:45:00,NA
"MOOS",2021-05-05 00:00:00,NA
"MOOS",2021-05-05 00:15:00,NA
"MOOS",2021-05-05 00:30:00,NA
"MOOS",2021-05-05 00:45:00,NA
"MOOS",2021-05-05 01:00:00,NA
"MOOS",2021-05-05 01:15:00,NA
"MOOS",2021-05-05 01:30:00,NA
"MOOS",2021-05-05 01:45:00,NA
"MOOS",2021-05-05 02:00:00,NA
"MOOS",2021-05-05 02:15:00,NA
"MOOS",2021-05-05 02:30:00,NA
"MOOS",2021-05-05 02:45:00,NA
"MOOS",2021-05-05 03:00:00,NA
"MOOS",2021-05-05 03:15:00,NA
"MOOS",2021-05-05 03:30:00,NA
"MOOS",2021-05-05 03:45:00,NA
"MOOS",2021-05-05 04:00:00,NA
"MOOS",2021-05-05 04:15:00,NA
"MOOS",2021-05-05 04:30:00,NA
"MOOS",2021-05-05 04:45:00,NA
"MOOS",2021-05-05 05:00:00,NA
"MOOS",2021-05-05 05:15:00,NA
"MOOS",2021-05-05 05:30:00,NA
"MOOS",2021-05-05 05:45:00,NA
"MOOS",2021-05-05 06:00:00,NA
"MOOS",2021-05-05 06:15:00,NA
"MOOS",2021-05-05 06:30:00,NA
"MOOS",2021-05-05 06:45:00,NA
"MOOS",2021-05-05 07:00:00,NA
"MOOS",2021-05-05 07:15:00,NA
"MOOS",2021-05-05 07:30:00,NA
"MOOS",2021-05-05 07:45:00,NA
"MOOS",2021-05-05 08:00:00,NA
"MOOS",2021-05-05 08:15:00,NA
"MOOS",2021-05-05 08:30:00,NA
